# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Jun 17 22:12:28 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag > 0
# CONSTRAINT:  and disc_facility like '%Kepler%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.
# COLUMN pl_massj:       Planet Mass [Jupiter Mass]
# COLUMN pl_massjerr1:   Planet Mass [Jupiter Mass] Upper Unc.
# COLUMN pl_massjerr2:   Planet Mass [Jupiter Mass] Lower Unc.
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius
# COLUMN pl_ratdorerr1:  Ratio of Semi-Major Axis to Stellar Radius Upper Unc.
# COLUMN pl_ratdorerr2:  Ratio of Semi-Major Axis to Stellar Radius Lower Unc.
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN pl_ratrorerr1:  Ratio of Planet to Stellar Radius Upper Unc.
# COLUMN pl_ratrorerr2:  Ratio of Planet to Stellar Radius Lower Unc.
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_denserr1:    Stellar Density Upper Unc. [g/cm**3]
# COLUMN st_denserr2:    Stellar Density Lower Unc. [g/cm**3]
# COLUMN st_vsin:        Stellar Rotational Velocity [km/s]
# COLUMN st_vsinerr1:    Stellar Rotational Velocity [km/s] Upper Unc.
# COLUMN st_vsinerr2:    Stellar Rotational Velocity [km/s] Lower Unc.
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_rotperr1:    Stellar Rotational Period [days] Upper Unc.
# COLUMN st_rotperr2:    Stellar Rotational Period [days] Lower Unc.
# COLUMN st_radv:        Systemic Radial Velocity [km/s]
# COLUMN st_radverr1:    Systemic Radial Velocity Upper Unc. [km/s]
# COLUMN st_radverr2:    Systemic Radial Velocity Lower Unc. [km/s]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_bmagerr1:    B (Johnson) Magnitude Upper Unc
# COLUMN sy_bmagerr2:    B (Johnson) Magnitude Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_masse,pl_masseerr1,pl_masseerr2,pl_massj,pl_massjerr1,pl_massjerr2,pl_dens,pl_denserr1,pl_denserr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_insol,pl_insolerr1,pl_insolerr2,pl_eqt,pl_eqterr1,pl_eqterr2,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,st_mass,st_masserr1,st_masserr2,st_met,st_meterr1,st_meterr2,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_logg,st_loggerr1,st_loggerr2,st_age,st_ageerr1,st_ageerr2,st_dens,st_denserr1,st_denserr2,st_vsin,st_vsinerr1,st_vsinerr2,st_rotp,st_rotperr1,st_rotperr2,st_radv,st_radverr1,st_radverr2,sy_dist,sy_disterr1,sy_disterr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmag,sy_vmagerr1,sy_vmagerr2
Kepler-702 b,Kepler-702,1,1,1,Transit,2016,Kepler,10.52629406,0.00000190,-0.00000190,,,,9.170,0.840,-0.580,0.818,0.075,-0.052,,,,,,,,,,,,,,,,,,,,,,0.09819,0.00065,-0.00159,,5419.00,122.25,-143.80,0.86,0.08,-0.05,0.90,0.05,-0.05,0.000,0.143,-0.161,[Fe/H],,,,4.53,0.04,-0.08,4.470,5.650,-2.780,,,,,,,,,,,,,992.0710000,29.1865000,-29.1865000,16.4830000,0.0680000,-0.0680000,15.4370000,0.1030000,-0.1030000
Kepler-703 b,Kepler-703,1,1,1,Transit,2016,Kepler,4.58352176,0.00000173,-0.00000173,,,,8.200,3.710,-1.390,0.732,0.331,-0.124,,,,,,,,,,,,,,,,,,,,,,0.05941,0.00057,-0.00032,,6185.00,197.61,-248.39,1.27,0.57,-0.21,1.18,0.20,-0.12,0.050,0.139,-0.147,[Fe/H],,,,4.29,0.13,-0.25,2.690,1.300,-0.938,,,,,,,,,,,,,1156.8300000,48.8900000,-45.1400000,16.8420000,0.0680000,-0.0680000,15.5990000,0.1830000,-0.1830000
Kepler-704 b,Kepler-704,1,1,1,Transit,2016,Kepler,3.76182115,0.00001161,-0.00001161,,,,2.610,0.600,-0.430,0.233,0.054,-0.038,,,,,,,,,,,,,,,,,,,,,,0.02499,0.00102,-0.00358,,5616.00,77.94,-102.76,0.96,0.22,-0.08,0.97,0.04,-0.05,0.090,0.142,-0.135,[Fe/H],,,,4.46,0.06,-0.18,5.130,4.600,-3.360,,,,,,,,,,,,,1228.8300000,45.6800000,-42.5700000,16.2560000,0.0000000,0.0000000,15.4540000,0.0460000,-0.0460000
Kepler-705 b,Kepler-705,1,1,1,Transit,2016,Kepler,56.05605380,0.00024860,-0.00024860,,,,2.110,0.100,-0.080,0.188,0.009,-0.007,,,,,,,,,,,,,,,,,,,,,,0.03825,0.00150,-0.00069,,3722.00,29.96,-32.88,0.51,0.01,-0.02,0.53,0.02,-0.02,0.070,0.073,-0.069,[Fe/H],,,,4.75,0.01,-0.01,3.890,5.210,-2.160,,,,,,,,,,,,,276.8810000,3.8580000,-3.7550000,17.8950000,0.1670000,-0.1670000,16.3310000,1.1330000,-1.1330000
Kepler-707 b,Kepler-707,1,1,1,Transit,2016,Kepler,2.23749275,0.00000468,-0.00000468,,,,1.330,0.090,-0.100,0.119,0.008,-0.009,,,,,,,,,,,,,,,,,,,,,,0.01635,0.00066,-0.00037,,5099.00,81.84,-69.76,0.76,0.04,-0.06,0.80,0.04,-0.05,-0.120,0.159,-0.201,[Fe/H],,,,4.58,0.04,-0.05,4.900,5.840,-3.000,,,,,,,,,,,,,591.7760000,7.0520000,-6.8920000,15.8340000,0.0660000,-0.0660000,15.0220000,0.1950000,-0.1950000
Kepler-708 b,Kepler-708,1,1,1,Transit,2016,Kepler,3.16789194,0.00000384,-0.00000384,,,,2.930,0.640,-0.280,0.261,0.057,-0.025,,,,,,,,,,,,,,,,,,,,,,0.02792,0.00021,-0.00089,,5692.00,138.46,-151.78,0.96,0.21,-0.09,0.97,0.06,-0.06,0.010,0.128,-0.175,[Fe/H],,,,4.47,0.07,-0.17,4.370,4.260,-2.650,,,,,,,,,,,,,1394.2200000,58.4350000,-58.4350000,16.4270000,0.1680000,-0.1680000,15.6100000,0.2860000,-0.2860000
Kepler-709 b,Kepler-709,1,1,1,Transit,2016,Kepler,16.08524954,0.00002644,-0.00002644,,,,2.920,0.180,-0.190,0.261,0.016,-0.017,,,,,,,,,,,,,,,,,,,,,,0.03533,0.00103,-0.00053,,5071.00,83.59,-83.42,0.77,0.04,-0.05,0.80,0.04,-0.05,-0.080,0.161,-0.184,[Fe/H],,,,4.58,0.03,-0.05,4.900,6.020,-2.990,,,,,,,,,,,,,664.8430000,11.7390000,-11.7390000,16.5160000,0.0550000,-0.0550000,15.2610000,0.1260000,-0.1260000
Kepler-710 b,Kepler-710,1,1,1,Transit,2016,Kepler,4.34728553,0.00000834,-0.00000834,,,,1.880,0.240,-0.150,0.168,0.021,-0.013,,,,,,,,,,,,,,,,,,,,,,0.01944,0.00051,-0.00044,,5611.00,156.89,-127.02,0.91,0.12,-0.07,0.94,0.06,-0.06,-0.040,0.144,-0.192,[Fe/H],,,,4.50,0.05,-0.11,4.170,4.620,-2.490,,,,,,,,,,,,,1448.3400000,43.6100000,-43.6100000,15.7120000,0.1500000,-0.1500000,15.0710000,0.0800000,-0.0800000
Kepler-711 b,Kepler-711,1,1,1,Transit,2016,Kepler,23.58914398,0.00006647,-0.00006647,,,,3.410,0.340,-0.630,0.304,0.030,-0.056,,,,,,,,,,,,,,,,,,,,,,0.03895,0.00000,-0.00668,,5222.00,236.98,-219.60,0.80,0.08,-0.06,0.84,0.06,-0.06,-0.040,0.158,-0.176,[Fe/H],,,,4.56,0.04,-0.07,4.370,6.130,-2.680,,,,,,,,,,,,,624.5750000,11.3270000,-10.9370000,17.2600000,0.0640000,-0.0640000,15.6350000,0.2060000,-0.2060000
Kepler-712 b,Kepler-712,1,1,2,Transit,2016,Kepler,21.02247699,0.00004431,-0.00004431,,,,3.410,0.140,-0.110,0.304,0.012,-0.010,,,,,,,,,,,,,,,,,,,,,,0.03982,0.00116,-0.00057,,5148.00,83.48,-78.09,0.78,0.02,-0.02,0.84,0.03,-0.04,-0.030,0.106,-0.105,[Fe/H],,,,4.58,0.02,-0.02,3.310,2.800,-1.610,,,,,,,,,,,,,872.4930000,32.5410000,-32.5410000,16.6350000,0.0690000,-0.0690000,16.1610000,0.1720000,-0.1720000
Kepler-712 c,Kepler-712,1,1,2,Transit,2016,Kepler,226.89047000,0.00109600,-0.00109600,,,,4.850,0.260,-0.410,0.433,0.023,-0.037,,,,,,,,,,,,,,,,,,,,,,0.05718,0.00260,-0.00449,,5148.00,83.48,-78.09,0.78,0.02,-0.02,0.84,0.03,-0.04,-0.030,0.106,-0.105,[Fe/H],,,,4.58,0.02,-0.02,3.310,2.800,-1.610,,,,,,,,,,,,,872.4930000,32.5410000,-32.5410000,16.6350000,0.0690000,-0.0690000,16.1610000,0.1720000,-0.1720000
Kepler-713 b,Kepler-713,1,1,1,Transit,2016,Kepler,7.41114100,0.00001344,-0.00001344,,,,2.480,0.500,-0.290,0.221,0.045,-0.026,,,,,,,,,,,,,,,,,,,,,,0.02320,0.00075,-0.00026,,5785.00,265.49,-233.97,0.99,0.20,-0.12,0.98,0.11,-0.08,-0.030,0.148,-0.181,[Fe/H],,,,4.44,0.09,-0.13,3.800,3.730,-2.100,,,,,,,,,,,,,1089.8700000,32.8100000,-30.9800000,15.9100000,0.1110000,-0.1110000,15.1710000,0.1030000,-0.1030000
Kepler-714 b,Kepler-714,1,1,1,Transit,2016,Kepler,8.09888799,0.00000219,-0.00000219,,,,9.670,2.490,-1.010,0.863,0.222,-0.090,,,,,,,,,,,,,,,,,,,,,,0.07906,0.00024,-0.00016,,5995.00,106.70,-117.06,1.12,0.29,-0.12,1.09,0.08,-0.07,0.040,0.139,-0.157,[Fe/H],,,,4.37,0.08,-0.18,3.550,1.770,-1.810,,,,,,,,,,,,,2083.3700000,98.4400000,-90.1100000,15.9720000,0.0000000,0.0000000,15.4300000,0.0580000,-0.0580000
Kepler-715 b,Kepler-715,1,1,1,Transit,2016,Kepler,10.00652995,0.00001932,-0.00001932,,,,3.750,0.830,-0.500,0.335,0.074,-0.045,,,,,,,,,,,,,,,,,,,,,,0.03268,0.00079,-0.00317,,5871.00,99.55,-97.10,1.04,0.23,-0.10,1.04,0.06,-0.06,0.020,0.125,-0.164,[Fe/H],,,,4.42,0.07,-0.16,3.980,2.600,-2.270,,,,,,,,,,,,,1327.4400000,48.9600000,-45.6600000,15.9960000,0.0670000,-0.0670000,15.2040000,0.1370000,-0.1370000
Kepler-716 b,Kepler-716,1,1,2,Transit,2016,Kepler,10.37168453,0.00001449,-0.00001449,,,,2.900,0.350,-0.170,0.259,0.031,-0.015,,,,,,,,,,,,,,,,,,,,,,0.03400,0.00368,-0.00104,,5099.00,52.72,-72.75,0.78,0.04,-0.04,0.83,0.04,-0.04,0.000,0.159,-0.167,[Fe/H],,,,4.58,0.03,-0.05,4.570,5.900,-2.790,,,,,,,,,,,,,635.0090000,8.8950010,-8.6570000,16.3320000,0.0570000,-0.0570000,15.3140000,0.2750000,-0.2750000
Kepler-716 c,Kepler-716,1,1,2,Transit,2020,Kepler,3.96999000,,,,,,1.393,,,0.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,5012.00,122.00,-122.00,0.74,,,0.83,,,,,,,-0.504,,,4.62,,,,,,2.8623,,,,,,,,,,,,635.0090000,8.8950010,-8.6570000,16.3320000,0.0570000,-0.0570000,15.3140000,0.2750000,-0.2750000
Kepler-717 b,Kepler-717,1,1,1,Transit,2016,Kepler,4.40840023,0.00001493,-0.00001493,,,,2.420,0.250,-0.350,0.216,0.022,-0.031,,,,,,,,,,,,,,,,,,,,,,0.02605,0.00002,-0.00324,,5485.00,120.85,-81.84,0.85,0.09,-0.06,0.88,0.05,-0.05,-0.120,0.155,-0.174,[Fe/H],,,,4.53,0.05,-0.10,4.370,5.470,-2.720,,,,,,,,,,,,,2805.4800000,310.6350000,-310.6350000,16.6070000,0.0580000,-0.0580000,15.7560000,0.2180000,-0.2180000
Kepler-718 b,Kepler-718,1,1,1,Transit,2016,Kepler,2.05234990,0.00000015,-0.00000015,,,,16.560,6.970,-3.120,1.477,0.622,-0.278,,,,,,,,,,,,,,,,,,,,,,0.11659,0.00049,-0.00068,,6191.00,307.31,-307.12,1.30,0.55,-0.24,1.18,0.23,-0.14,0.060,0.135,-0.135,[Fe/H],,,,4.28,0.14,-0.23,2.570,1.840,-0.876,,,,,,,,,,,,,1302.3300000,48.4600000,-45.1600000,16.3510000,0.0380000,-0.0380000,15.3990000,0.0920000,-0.0920000
Kepler-719 b,Kepler-719,1,1,1,Transit,2016,Kepler,5.00731778,0.00000125,-0.00000125,,,,8.520,1.830,-0.900,0.760,0.163,-0.080,,,,,,,,,,,,,,,,,,,,,,0.08011,0.00019,-0.00035,,5777.00,199.43,-220.79,0.98,0.21,-0.10,0.99,0.08,-0.07,-0.020,0.135,-0.176,[Fe/H],,,,4.45,0.07,-0.15,3.980,3.540,-2.230,,,,,,,,,,,,,2497.5100000,269.1000000,-222.4200000,16.7240000,0.0890000,-0.0890000,16.1280000,0.1030000,-0.1030000
Kepler-720 b,Kepler-720,1,1,1,Transit,2016,Kepler,4.70832654,0.00000073,-0.00000073,,,,8.410,1.610,-0.800,0.750,0.144,-0.071,,,,,,,,,,,,,,,,,,,,,,0.08400,0.00017,-0.00009,,5618.00,328.49,-250.53,0.92,0.18,-0.09,0.95,0.11,-0.07,0.000,0.144,-0.177,[Fe/H],,,,4.49,0.07,-0.12,3.630,3.800,-1.940,,,,,,,,,,,,,1065.3700000,37.6300000,-35.1800000,16.3720000,0.0340000,-0.0340000,15.4620000,0.0690000,-0.0690000
Kepler-721 b,Kepler-721,1,1,1,Transit,2016,Kepler,5.39202539,0.00000677,-0.00000677,,,,2.640,0.140,-0.140,0.236,0.012,-0.012,,,,,,,,,,,,,,,,,,,,,,0.03147,0.00064,-0.00068,,5075.00,53.60,-56.09,0.78,0.04,-0.04,0.82,0.04,-0.04,-0.010,0.156,-0.155,[Fe/H],,,,4.58,0.03,-0.05,4.900,5.870,-2.980,,,,,,,,,,,,,926.5980000,35.0760000,-32.6500000,17.0310000,0.0000000,0.0000000,15.9630000,0.1030000,-0.1030000
Kepler-722 b,Kepler-722,1,1,2,Transit,2016,Kepler,4.09357325,0.00000810,-0.00000810,,,,2.630,0.710,-0.290,0.235,0.063,-0.026,,,,,,,,,,,,,,,,,,,,,,0.02252,0.00065,-0.00039,,5863.00,103.52,-131.89,1.05,0.28,-0.11,1.03,0.07,-0.07,0.020,0.139,-0.171,[Fe/H],,,,4.41,0.09,-0.18,4.370,2.750,-2.520,,,,,,,,,,,,,1239.5000000,47.3700000,-44.0700000,16.4600000,0.0260000,-0.0260000,15.4890000,0.1600000,-0.1600000
Kepler-722 c,Kepler-722,1,1,2,Transit,2016,Kepler,105.14474900,0.00167500,-0.00167500,,,,2.820,0.560,-0.330,0.252,0.050,-0.029,,,,,,,,,,,,,,,,,,,,,,0.02488,0.00057,-0.00153,,5863.00,103.52,-131.89,1.05,0.28,-0.11,1.03,0.07,-0.07,0.020,0.139,-0.171,[Fe/H],,,,4.41,0.09,-0.18,4.370,2.750,-2.520,,,,,,,,,,,,,1239.5000000,47.3700000,-44.0700000,16.4600000,0.0260000,-0.0260000,15.4890000,0.1600000,-0.1600000
Kepler-723 b,Kepler-723,1,1,1,Transit,2016,Kepler,4.08227507,0.00000023,-0.00000023,,,,12.190,1.580,-0.790,1.088,0.141,-0.070,,,,,,,,,,,,,,,,,,,,,,0.12470,0.00009,-0.00004,,5539.00,75.49,-85.21,0.89,0.12,-0.06,0.92,0.04,-0.05,0.000,0.136,-0.178,[Fe/H],,,,4.51,0.05,-0.12,4.570,5.700,-2.870,,,,,,,,,,,,,1071.8000000,,,16.2740000,0.0510000,-0.0510000,15.4520000,0.0580000,-0.0580000
Kepler-724 b,Kepler-724,1,1,1,Transit,2016,Kepler,3.31494634,0.00000172,-0.00000172,,,,3.290,0.400,-0.230,0.294,0.036,-0.021,,,,,,,,,,,,,,,,,,,,,,0.03524,0.00079,-0.00051,,5437.00,176.17,-122.72,0.86,0.10,-0.06,0.90,0.06,-0.05,-0.020,0.136,-0.174,[Fe/H],,,,4.53,0.04,-0.10,4.370,6.060,-2.670,,,,,,,,,,,,,853.1190000,20.1720000,-20.1720000,16.3080000,0.0080000,-0.0080000,15.2840000,0.1030000,-0.1030000
Kepler-725 b,Kepler-725,1,1,1,Transit,2016,Kepler,39.64317811,0.00001110,-0.00001110,,,,10.630,0.850,-0.590,0.948,0.076,-0.053,,,,,,,,,,,,,,,,,,,,,,0.11563,0.00027,-0.00013,,5363.00,59.19,-62.84,0.84,0.07,-0.05,0.88,0.04,-0.04,-0.010,0.143,-0.166,[Fe/H],,,,4.54,0.04,-0.08,4.370,6.030,-2.720,,,,,,,,,,,,,758.4690000,13.8770000,-13.3960000,16.1370000,0.0610000,-0.0610000,15.1450000,0.0800000,-0.0800000
Kepler-726 b,Kepler-726,1,1,1,Transit,2016,Kepler,21.80451088,0.00004512,-0.00004512,,,,3.260,0.320,-0.350,0.291,0.029,-0.031,,,,,,,,,,,,,,,,,,,,,,0.03461,0.00009,-0.00266,,5452.00,122.89,-94.31,0.85,0.08,-0.07,0.88,0.05,-0.05,-0.090,0.157,-0.170,[Fe/H],,,,4.53,0.05,-0.09,4.470,5.720,-2.780,,,,,,,,,,,,,762.0810000,14.2520000,-13.7480000,16.0360000,0.0420000,-0.0420000,15.3620000,0.0920000,-0.0920000
Kepler-727 b,Kepler-727,1,1,1,Transit,2016,Kepler,5.15448442,0.00000858,-0.00000858,,,,2.530,0.350,-0.310,0.226,0.031,-0.028,,,,,,,,,,,,,,,,,,,,,,0.02745,0.00230,-0.00259,,5441.00,107.87,-157.44,0.86,0.10,-0.06,0.89,0.05,-0.06,-0.010,0.146,-0.188,[Fe/H],,,,4.53,0.04,-0.10,4.790,6.200,-3.020,,,,,,,,,,,,,831.8420000,20.0730000,-20.0730000,16.4310000,0.1210000,-0.1210000,15.4530000,0.0690000,-0.0690000
Kepler-728 b,Kepler-728,1,1,1,Transit,2016,Kepler,5.74347727,0.00000717,-0.00000717,,,,3.340,0.450,-0.260,0.298,0.040,-0.023,,,,,,,,,,,,,,,,,,,,,,0.03321,0.00064,-0.00028,,5660.00,133.10,-108.40,0.93,0.12,-0.07,0.95,0.06,-0.06,-0.030,0.143,-0.186,[Fe/H],,,,4.49,0.05,-0.11,4.070,3.960,-2.370,,,,,,,,,,,,,1765.2300000,92.8800000,-84.2000000,16.2720000,0.1250000,-0.1250000,15.5850000,0.1150000,-0.1150000
Kepler-729 b,Kepler-729,1,1,1,Transit,2016,Kepler,3.16635371,0.00000242,-0.00000242,,,,3.580,0.420,-0.250,0.319,0.037,-0.022,,,,,,,,,,,,,,,,,,,,,,0.03638,0.00052,-0.00019,,5633.00,71.02,-56.34,0.91,0.11,-0.06,0.94,0.04,-0.06,-0.050,0.137,-0.195,[Fe/H],,,,4.50,0.05,-0.11,4.270,4.900,-2.590,,,,,,,,,,,,,1921.1500000,108.9400000,-98.0700000,16.1380000,0.0700000,-0.0700000,15.5670000,0.1600000,-0.1600000
Kepler-730 b,Kepler-730,1,1,2,Transit,2016,Kepler,6.49168281,,,0.069400,0.001600,-0.001200,12.330,0.527,-0.560,1.100,0.047,-0.050,,,,,,,,,,,,,,,,1219,21,-22,10.600000,0.380000,-0.320000,0.08013,0.00074,-0.00084,,5620.00,55.00,-59.00,1.41,0.05,-0.05,1.05,0.07,-0.05,0.210,0.014,-0.014,[Fe/H],,,,4.16,0.03,-0.03,9.500,2.500,-2.700,0.5290,0.0570,-0.0460,,,,,,,,,,1935.0400000,122.2100000,-108.7900000,16.6390000,0.0180000,-0.0180000,15.7820000,0.0690000,-0.0690000
Kepler-730 c,Kepler-730,1,1,2,Transit,2018,Kepler,2.85188338,,,0.039970,0.000890,-0.000690,1.569,0.135,-0.135,0.140,0.012,-0.012,,,,,,,,,,,,,,,,1607,27,-29,6.100000,0.210000,-0.180000,0.01025,0.00074,-0.00074,,5620.00,55.00,-59.00,1.41,0.05,-0.05,1.05,0.07,-0.05,0.210,0.014,-0.014,[Fe/H],,,,4.16,0.03,-0.03,9.500,2.500,-2.700,0.5290,0.0570,-0.0460,,,,,,,,,,1935.0400000,122.2100000,-108.7900000,16.6390000,0.0180000,-0.0180000,15.7820000,0.0690000,-0.0690000
Kepler-731 b,Kepler-731,1,1,1,Transit,2016,Kepler,3.85560355,0.00000029,-0.00000029,,,,13.880,3.180,-1.520,1.238,0.284,-0.136,,,,,,,,,,,,,,,,,,,,,,0.12025,0.00008,-0.00005,,5849.00,200.38,-139.51,1.06,0.24,-0.12,1.03,0.09,-0.06,0.040,0.132,-0.154,[Fe/H],,,,4.41,0.08,-0.17,3.800,3.080,-2.050,,,,,,,,,,,,,1257.1600000,50.5200000,-46.8200000,15.6070000,0.0470000,-0.0470000,15.3860000,0.1720000,-0.1720000
Kepler-732 b,Kepler-732,1,1,2,Transit,2016,Kepler,9.46781405,0.00000618,-0.00000618,,,,2.180,0.120,-0.160,0.194,0.011,-0.014,,,,,,,,,,,,,,,,,,,,,,0.04332,0.00075,-0.00032,,3631.00,35.05,-37.03,0.46,0.03,-0.03,0.49,0.03,-0.03,-0.010,0.086,-0.086,[Fe/H],,,,4.79,0.04,-0.03,4.470,5.440,-2.700,,,,,,,,,,,,,174.8260000,0.8590000,-0.8500000,17.9000000,0.1640000,-0.1640000,16.5300000,0.2000000,-0.2000000
Kepler-732 c,Kepler-732,1,1,2,Transit,2016,Kepler,0.89304124,0.00000046,-0.00000046,,,,1.270,0.070,-0.100,0.113,0.006,-0.009,,,,,,,,,,,,,,,,,,,,,,0.02547,0.00060,-0.00022,,3631.00,35.05,-37.03,0.46,0.03,-0.03,0.49,0.03,-0.03,-0.010,0.086,-0.086,[Fe/H],,,,4.79,0.04,-0.03,4.470,5.440,-2.700,,,,,,,,,,,,,174.8260000,0.8590000,-0.8500000,17.9000000,0.1640000,-0.1640000,16.5300000,0.2000000,-0.2000000
Kepler-733 b,Kepler-733,1,1,1,Transit,2016,Kepler,20.83424726,0.00005682,-0.00005682,,,,2.820,0.460,-0.190,0.252,0.041,-0.017,,,,,,,,,,,,,,,,,,,,,,0.02989,0.00409,-0.00092,,5418.00,89.83,-94.34,0.86,0.08,-0.05,0.90,0.04,-0.05,0.010,0.140,-0.160,[Fe/H],,,,4.53,0.04,-0.09,4.270,6.040,-2.600,,,,,,,,,,,,,916.7060000,21.4755000,-21.4755000,16.2050000,0.0700000,-0.0700000,15.5610000,0.1260000,-0.1260000
